id_store,name,brand_group,network_type,store_category,brand_description,brand_image,brand_website
"3","GALERIES LAFAYETTE AGEN","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"4","GALERIES LAFAYETTE AMIENS","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"5","GALERIES LAFAYETTE ANGERS","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"9","GALERIES LAFAYETTE BAYONNE","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"11","GALERIES LAFAYETTE BEAUVAIS","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"12","GALERIES LAFAYETTE BELFORT","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"13","GALERIES LAFAYETTE BESANCON","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"14","GALERIES LAFAYETTE BEZIERS","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"15","GALERIES LAFAYETTE CAEN","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"18","GALERIES LAFAYETTE CARRE SENART","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"19","GALERIES LAFAYETTE CHALON SUR SAONE","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
"20","GALERIES LAFAYETTE CHAMBERY","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/"
