"id_store","active","name","city","postcode","address1","address2","country","latitude","longitude","phone","full_address","icone","opening_hours","opening_hours_source","brand_group","network_type","store_category","brand_description","brand_image","brand_website","seo_title","seo_description"
"1","1","Galeries Lafayette Agen","Agen","47000","72 Bd de la République","","France","44.20486","0.6194172","","Agen 47000 72 Bd de la République France","","Lundi-Vendredi : 10h00-19h00 ; Samedi : 10h00-19h30","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Agen - Agen","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Agen a Agen."
"2","1","Galeries Lafayette Amiens","Amiens","80000","12 Rue des 3 Cailloux","","France","49.8924276","2.2984481","","Amiens 80000 12 Rue des 3 Cailloux France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Amiens - Amiens","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Amiens a Amiens."
"3","1","Galeries Lafayette Angers","Angers","49100","6 Rue d'Alsace","","France","47.4704754","-0.5512481","","Angers 49100 6 Rue d'Alsace France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Angers - Angers","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Angers a Angers."
"4","1","Galeries Lafayette Bayonne","Bayonne","64100","28 Rue Thiers","","France","43.4923509","-1.4772358","","Bayonne 64100 28 Rue Thiers France","","Lundi-Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Bayonne - Bayonne","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Bayonne a Bayonne."
"5","1","Galeries Lafayette Beauvais","Beauvais","60000","2 Rue des Jacobins","","France","49.43097239999999","2.0837834","","Beauvais 60000 2 Rue des Jacobins France","","Lundi-Samedi : 10h00-19h30 ; Dimanche : Fermé","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Beauvais - Beauvais","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Beauvais a Beauvais."
"6","1","Galeries Lafayette Belfort","Belfort","90000","24 Fbg de France","","France","47.6369972","6.8569676","","Belfort 90000 24 Fbg de France France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Belfort - Belfort","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Belfort a Belfort."
"7","1","Galeries Lafayette Besancon","Besançon","25000","44 Rue des Granges","","France","47.2377923","6.0254202","","Besançon 25000 44 Rue des Granges France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Besancon - Besançon","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Besancon a Besançon."
"8","1","Galeries Lafayette Beziers","Béziers","34500","9 All. Paul Riquet","","France","43.3440057","3.216813","","Béziers 34500 9 All. Paul Riquet France","","Lundi-Vendredi : 10h00-19h00 ; Samedi : 09h30-19h30","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Beziers - Béziers","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Beziers a Béziers."
"9","1","Galeries Lafayette Caen","Caen","14000","Bd Maréchal Leclerc 108","","France","49.1819565","-0.3622136","","Caen 14000 Bd Maréchal Leclerc 108 France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Caen - Caen","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Caen a Caen."
"10","1","Galeries Lafayette Carre Senart","Lieusaint","77127","All. du Préambule","","France","48.6131922","2.5488061","","Lieusaint 77127 All. du Préambule France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Carre Senart - Lieusaint","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Carre Senart a Lieusaint."
"11","1","Galeries Lafayette Chalon sur Saone","Chalon-sur-Saône","71100","17 Bd de la République","","France","46.783489","4.8503588","","Chalon-sur-Saône 71100 17 Bd de la République France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Chalon sur Saone - Chalon-sur-Saône","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Chalon sur Saone a Chalon-sur-Saône."
"12","1","Galeries Lafayette Chambery","Chambéry","73000","19 Bd de la Colonne","","France","45.5677052","5.921075099999999","","Chambéry 73000 19 Bd de la Colonne France","","Lundi-Samedi : 10h00-19h30","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Chambery - Chambéry","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Chambery a Chambéry."
"13","1","Galeries Lafayette Clermont Ferrand","Clermont-Ferrand","63000","25 Pl. de Jaude","","France","45.776486","3.0830207","","Clermont-Ferrand 63000 25 Pl. de Jaude France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Clermont Ferrand - Clermont-Ferrand","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Clermont Ferrand a Clermont-Ferrand."
"14","1","Galeries Lafayette la Roche sur Yon","La Roche-sur-Yon","85000","18 Rue Georges Clemenceau","","France","46.6701481","-1.4301277","","La Roche-sur-Yon 85000 18 Rue Georges Clemenceau France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette la Roche sur Yon - La Roche-sur-Yon","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette la Roche sur Yon a La Roche-sur-Yon."
"15","1","Galeries Lafayette la Rochelle","La Rochelle","17000","31-39 Rue du Palais","","France","46.15920060000001","-1.153468","","La Rochelle 17000 31-39 Rue du Palais France","","Lundi-Dimanche : 10h00-19h30","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette la Rochelle - La Rochelle","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette la Rochelle a La Rochelle."
"16","1","Galeries Lafayette le Mans","Le Mans","72000","17-21 Rue des Minimes","","France","48.0026393","0.197502","","Le Mans 72000 17-21 Rue des Minimes France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette le Mans - Le Mans","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette le Mans a Le Mans."
"17","1","Galeries Lafayette Libourne","Libourne","33500","21 Rue Gambetta","","France","44.9153521","-0.2433956","","Libourne 33500 21 Rue Gambetta France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Libourne - Libourne","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Libourne a Libourne."
"18","1","Galeries Lafayette Limoges","Limoges","87000","6 Rue Prte Tourny","","France","45.8318017","1.2615386","","Limoges 87000 6 Rue Prte Tourny France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Limoges - Limoges","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Limoges a Limoges."
"19","1","Galeries Lafayette Lorient","Lorient","56100","10 Pl. Alsace Lorraine","","France","47.7492427","-3.3610639","","Lorient 56100 10 Pl. Alsace Lorraine France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Lorient - Lorient","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Lorient a Lorient."
"20","1","Galeries Lafayette Montauban","Montauban","82000","37-39 Rue Bessières","","France","44.0171858","1.3560385","","Montauban 82000 37-39 Rue Bessières France","","","","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Montauban - Montauban","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Montauban a Montauban."
"21","1","Galeries Lafayette Montpellier","Montpellier","34000","1 Rue des Pertuisanes","","France","43.6085755","3.8849407","","Montpellier 34000 1 Rue des Pertuisanes France","","Lundi-Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Montpellier - Montpellier","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Montpellier a Montpellier."
"22","1","Galeries Lafayette Niort","Niort","79000","47 Rue Victor Hugo","","France","46.324777","-0.4616498000000001","","Niort 79000 47 Rue Victor Hugo France","","Mardi-Samedi : 10h00-19h00 ; Lundi : 14h00-19h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Niort - Niort","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Niort a Niort."
"23","1","Galeries Lafayette Orleans","Orléans","45000","6 Rue Thiers","","France","47.8997846","1.9052011","","Orléans 45000 6 Rue Thiers France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Orleans - Orléans","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Orleans a Orléans."
"24","1","Galeries Lafayette Pau","Pau","64000","14 Cr Bosquet","","France","43.2982429","-0.3658617","","Pau 64000 14 Cr Bosquet France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Pau - Pau","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Pau a Pau."
"25","1","Galeries Lafayette Perpignan","Perpignan","66000","1 Pl. de la Résistance","","France","42.7008965","2.8928682","","Perpignan 66000 1 Pl. de la Résistance France","","Lundi-Samedi : 10h00-19h30","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Perpignan - Perpignan","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Perpignan a Perpignan."
"26","1","Galeries Lafayette Reims","Reims","51100","33-45 Rue de Vesle","","France","49.2537605","4.029999","","Reims 51100 33-45 Rue de Vesle France","","Lundi-Vendredi : 10h00-19h30 ; Samedi : 10h00-20h00","OpenStreetMap","Galeries Lafayette","chain","department_store","Galeries Lafayette est une enseigne française de grands magasins.","https://upload.wikimedia.org/wikipedia/fr/7/7f/GaleriesLafayettelogo.jpg","https://www.galerieslafayette.com/","Galeries Lafayette Reims - Reims","Adresse, horaires et informations pratiques du point de vente Galeries Lafayette Reims a Reims."
